"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","Check change language via URL for assets widget [5] th, สินทรัพย์การเทรด","","Sat Feb 08 14:46:02 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","753","Check change language via URL for assets widget [1] en, Trading Assets","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:01 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","419","Verify clearing the application form results in reset state","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","shouldClearResultsInJobApplicationTest"
"","472","Check change language via URL for assets widget [2] es, Operación con activos","","Sat Feb 08 14:46:02 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","1013","Check platforms in header","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","platformsCheckTest"
"","518","Job application page should contain all required elements","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","jobApplicationPageShouldContainRequiredElementsTest"
"","336","Check change language via URL for assets widget [3] vi, Tài sản giao dịch","","Sat Feb 08 14:46:02 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","898","Check that job title remains the same after opening the job details page","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:01 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","nameOfJobShouldBeTheSameAfterOpeningTest"
"","336","Check change language via URL for assets widget [4] cn-tr, 交易資產","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","1159","Check all main page elements (logo, buttons, language switcher, etc.)","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","mainPageShouldHaveCorrectMainElementsTest"
"","381","Filtering jobs by location should update job count and allow clearing filters","","Sat Feb 08 14:46:02 GMT 2025","broken","Sat Feb 08 14:46:02 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsShouldUpdateJobsCountAndBeResettableTest"
"","762","Filter by Search job input should update jobs count","","Sat Feb 08 14:46:01 GMT 2025","broken","Sat Feb 08 14:46:01 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsBySearchJobInputShouldUpdateJobsCountTest"
