"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","318","Check change language via URL for assets widget [3] vi, Tài sản giao dịch","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","444","Filtering jobs by location should update job count and allow clearing filters","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsShouldUpdateJobsCountAndBeResettableTest"
"","1073","Check all main page elements (logo, buttons, language switcher, etc.)","","Sat Feb 08 09:33:23 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","mainPageShouldHaveCorrectMainElementsTest"
"","742","Check change language via URL for assets widget [1] en, Trading Assets","","Sat Feb 08 09:33:23 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","745","Filter by Search job input should update jobs count","","Sat Feb 08 09:33:23 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsBySearchJobInputShouldUpdateJobsCountTest"
"","295","Check change language via URL for assets widget [2] es, Operación con activos","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","970","Check that job title remains the same after opening the job details page","","Sat Feb 08 09:33:23 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","nameOfJobShouldBeTheSameAfterOpeningTest"
"","843","Check platforms in header","","Sat Feb 08 09:33:23 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","platformsCheckTest"
"","388","Check change language via URL for assets widget [4] cn-tr, 交易資產","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","427","Verify clearing the application form results in reset state","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","shouldClearResultsInJobApplicationTest"
"","527","Job application page should contain all required elements","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","jobApplicationPageShouldContainRequiredElementsTest"
"","264","Check change language via URL for assets widget [5] th, สินทรัพย์การเทรด","","Sat Feb 08 09:33:24 GMT 2025","broken","Sat Feb 08 09:33:24 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
