"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5258","Check change language via URL for assets widget [1] en, Trading Assets","","Sat Feb 08 16:43:11 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","5291","Check all main page elements (logo, buttons, language switcher, etc.)","","Sat Feb 08 16:43:11 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","mainPageShouldHaveCorrectMainElementsTest"
"","2915","Check change language via URL for assets widget [4] cn-tr, 交易資產","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","5253","Filter by Search job input should update jobs count","","Sat Feb 08 16:43:11 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsBySearchJobInputShouldUpdateJobsCountTest"
"","2922","Check change language via URL for assets widget [3] vi, Tài sản giao dịch","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","2929","Check change language via URL for assets widget [2] es, Operación con activos","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","2697","Verify clearing the application form results in reset state","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","shouldClearResultsInJobApplicationTest"
"","2718","Check change language via URL for assets widget [5] th, สินทรัพย์การเทรด","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","2949","Filtering jobs by location should update job count and allow clearing filters","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsShouldUpdateJobsCountAndBeResettableTest"
"","5257","Check platforms in header","","Sat Feb 08 16:43:11 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","platformsCheckTest"
"","5293","Check that job title remains the same after opening the job details page","","Sat Feb 08 16:43:11 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","nameOfJobShouldBeTheSameAfterOpeningTest"
"","2912","Job application page should contain all required elements","","Sat Feb 08 16:43:14 GMT 2025","broken","Sat Feb 08 16:43:17 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","jobApplicationPageShouldContainRequiredElementsTest"
